timestamp;Volumetic_water_content;Soil_temperature;Electrical_conductivity
 2023-06-11 20:14:09; 0.346; 11.100; 121.000
 2023-06-11 20:24:02; 0.346; 11.100; 122.000
 2023-06-11 20:34:09; 0.346; 11.200; 122.000
 2023-06-11 20:44:06; 0.346; 11.200; 122.000
 2023-06-11 20:54:07; 0.346; 11.200; 122.000
 2023-06-11 21:04:08; 0.346; 11.200; 122.000
 2023-06-11 21:14:04; 0.346; 11.200; 121.000
 2023-06-11 21:24:05; 0.346; 11.300; 121.000
 2023-06-11 21:34:02; 0.346; 11.300; 122.000
 2023-06-11 21:44:09; 0.347; 11.300; 122.000
 2023-06-11 21:54:07; 0.346; 11.300; 121.000
 2023-06-11 22:04:02; 0.347; 11.300; 122.000
 2023-06-11 22:14:05; 0.346; 11.300; 122.000
 2023-06-11 22:24:03; 0.346; 11.300; 122.000
 2023-06-11 22:34:06; 0.346; 11.300; 122.000
 2023-06-11 22:44:05; 0.346; 11.300; 122.000
 2023-06-11 22:54:06; 0.346; 11.300; 122.000
